time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,78346.54495120049
1,300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,78235.54892838001
2,600000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,78278.73502671719
3,900000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,78250.22920966148
4,1200000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,81207.53817260265
5,1500000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,78879.20264154673
6,1800000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,78108.31584781408
7,2100000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,78569.08244639635
8,2400000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,78651.30100399256
9,2700000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,78805.9516325593
10,3000000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,78690.76677411795
11,3300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,77830.71913570166
12,3600000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,78210.90632677078
13,3900000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,78327.17207074165
14,4200000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,78716.31205826998
15,4500000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,78702.9272839427
16,4800000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,78911.31269931793
17,5100000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,78657.53491222858
18,5400000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,78851.18406265974
19,5700000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,78835.73952317238
20,6000000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,78355.98238557577
21,6300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,77382.64086097479
22,6600000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,78093.56596320868
23,6900000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77525.90698748827
24,7200000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77137.87973672152
25,7500000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,77098.52385520935
26,7800000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,77594.98165547848
27,8100000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,76341.83119982481
28,8400000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77101.06521844864
29,8700000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,76522.95901626348
30,9000000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77535.40977835655
31,9300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77114.54588919878
32,9600000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77258.53977352381
33,9900000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,552,77747.79681116343
34,10200000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77832.26727694273
35,10500000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,76452.42294669151
36,10800000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77450.69053024054
37,11100000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76570.88083028793
38,11400000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,78238.8417199254
39,11700000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76383.84740799665
40,12000000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,77814.93930518627
41,12300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,77101.89587622881
42,12600000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76131.09228760004
43,12900000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,76277.86776423454
44,13200000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,76773.04269373417
45,13500000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,76759.63431596756
46,13800000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,78084.75226163864
47,14100000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76918.4875190258
48,14400000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77519.37711238861
49,14700000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76859.90969091654
50,15000000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,76397.80175685883
51,15300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,77474.41451996565
52,15600000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,76637.65547424555
53,15900000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76398.1502354145
54,16200000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77346.51307761669
55,16500000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,76318.93315166235
56,16800000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76692.22652167082
57,17100000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76746.23646587133
58,17400000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77123.1251731515
59,17700000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76703.54767888784
60,18000000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76979.41968590021
61,18300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,76793.07969659567
62,18600000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,77833.46908539534
63,18900000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,76901.13096684217
64,19200000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77722.82466292381
65,19500000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,77136.5300193429
66,19800000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,77055.15199899673
67,20100000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76578.49642634392
68,20400000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,77186.52722239494
69,20700000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76531.5784662962
70,21000000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,76392.24637299776
71,21300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,76345.30860185623
